sample	HS_poly	PAPS	HS_N	HS_2O	HS_6O	HS_3O	reach_FGF_like	reach_WNT_like	reach_SHH_like
GTEX-1117F-0226-SM-5GZZ7	0.634876050144527	0.571166630506516	0.23920682123161	1.69640529837828	0.230770101839219	0.0803641581479723	0.23920682123161	0.230770101839219	0.0803641581479723
GTEX-1117F-0426-SM-5EGHI	-1.2257574776013	-1.68701001489929	-0.946227432363488	-1.92113089943741	0.0281159861989757	-0.724021076322783	-1.92113089943741	-1.68701001489929	-1.68701001489929
GTEX-1117F-0526-SM-5EGHJ	-0.0651714127683666	-0.302156140929527	-0.140246006218455	0.954996090823826	-0.0104762482566992	-0.233669002859606	-0.302156140929527	-0.302156140929527	-0.302156140929527
GTEX-1117F-0626-SM-5N9CS	0.986961125634306	0.687913411905206	0.580936431945757	0.666652046569756	-0.428007790341191	-0.0661606379382432	0.580936431945757	-0.428007790341191	-0.428007790341191
GTEX-1117F-0726-SM-5GIEN	-0.195895488540051	-0.534636248973048	-0.769653105840896	-0.727910363732802	-0.93672980721894	-0.506754765305493	-0.769653105840896	-0.93672980721894	-0.93672980721894
GTEX-1117F-1326-SM-5EGHH	0.202861025807316	-0.568912432384405	-0.182552115680066	0.939115245865805	-0.856985482480644	-0.175438950287126	-0.568912432384405	-0.856985482480644	-0.856985482480644
GTEX-1117F-2426-SM-5EGGH	0.287412802648049	0.547309992626335	0.174563923355344	0.673780053382211	0.564341879239094	0.158838143024754	0.174563923355344	0.174563923355344	0.158838143024754
GTEX-1117F-2526-SM-5GZY6	0.422871968558631	0.0983867088633316	0.185562736276948	0.611532598379707	0.176200564439992	0.316796666496006	0.0983867088633316	0.0983867088633316	0.0983867088633316
GTEX-1117F-2826-SM-5GZXL	0.34999981201095	0.434490227612571	-0.00626979023278203	0.351537636370502	-0.389197653828621	-0.156937939209154	-0.00626979023278203	-0.389197653828621	-0.389197653828621
GTEX-1117F-2926-SM-5GZYI	0.417844258728385	-0.015580514220839	-0.0585216154951635	0.200423090840972	-0.471115259384363	0.498152865267287	-0.0585216154951635	-0.471115259384363	-0.471115259384363
GTEX-1117F-3026-SM-5GZYU	-0.0390926495433239	0.814099490798439	0.238708711197901	0.343173719630219	-0.00397007935684365	0.57847014973797	-0.0390926495433239	-0.0390926495433239	-0.0390926495433239
GTEX-1117F-3226-SM-5N9CT	-1.19388115408432	-0.654363404423818	-0.110920284660747	-0.819781578942645	0.565388216558389	0.734983353105028	-1.19388115408432	-1.19388115408432	-1.19388115408432
GTEX-111CU-0126-SM-5GZWZ	0.0515851130569033	0.370456993021115	-0.0546151990055091	2.14702386025063	1.37636289862255	-0.181162755353982	-0.0546151990055091	-0.0546151990055091	-0.181162755353982
GTEX-111CU-0226-SM-5GZXC	0.501420967912523	0.362902683829953	0.170061159660966	0.422162632123271	-0.12864162135187	-0.161899132432122	0.170061159660966	-0.12864162135187	-0.161899132432122
GTEX-111CU-0326-SM-5GZXO	0.586741130538751	0.336520113323922	0.151567757142668	0.201534378004258	-0.20483298864057	0.413412313383867	0.151567757142668	-0.20483298864057	-0.20483298864057
GTEX-111CU-0426-SM-5GZY1	0.0219154937681647	0.171630338465337	0.515211058625258	0.239095333732804	-0.179463142705348	0.307957988747839	0.0219154937681647	-0.179463142705348	-0.179463142705348
GTEX-111CU-0526-SM-5EGHK	-0.800296245216556	-0.205538523110738	-0.845134628285053	-0.83556183577325	-0.193600677165322	-0.765205816030655	-0.845134628285053	-0.845134628285053	-0.845134628285053
GTEX-111CU-0626-SM-5EGHL	0.104627343690011	-0.312699839878645	-0.0346856822007319	-0.405474790987852	0.0955878134673677	-0.18863397370935	-0.405474790987852	-0.312699839878645	-0.312699839878645
GTEX-111CU-0726-SM-5GZYD	-0.246166830076138	-0.0539246245204896	0.120637018750133	-0.281532113085094	0.662366069428138	0.454855315577935	-0.281532113085094	-0.246166830076138	-0.246166830076138
GTEX-111CU-0826-SM-5EGIJ	-0.0651933322725629	-0.403129757855505	0.00999295772551441	-0.18640618340553	-0.30656462333219	-0.390747075883948	-0.403129757855505	-0.403129757855505	-0.403129757855505
GTEX-111CU-0926-SM-5EGIK	-0.319820166859016	0.450291598368521	-0.198816154960089	-0.324217257071904	-0.682542260173091	-0.217104532083856	-0.324217257071904	-0.682542260173091	-0.682542260173091
GTEX-111CU-1026-SM-5EGIL	-0.177151481215417	-0.45714472675341	-0.240840980247183	-0.497414164031466	-0.526460155965998	-0.442248450708453	-0.497414164031466	-0.526460155965998	-0.526460155965998
GTEX-111CU-1126-SM-5EGIM	-0.508145474580495	-0.494721940497871	0.136104295763984	-0.76339792401854	-0.221065466430486	0.389369929653384	-0.76339792401854	-0.508145474580495	-0.508145474580495
GTEX-111CU-1226-SM-5EGIN	8.11638324773927e-05	-0.169983936224674	0.210077211368932	-0.338424270188019	-0.264152968160142	-0.326308577287068	-0.338424270188019	-0.264152968160142	-0.326308577287068
GTEX-111CU-1326-SM-5NQ8L	0.201602777667943	0.093383461661671	0.0315213335045224	0.247957973609084	-0.0300380205650898	-0.122851933411204	0.0315213335045224	-0.0300380205650898	-0.122851933411204
GTEX-111CU-1426-SM-5GZYP	0.241798657384954	0.689149281844572	-0.393156150119464	-0.662270227290479	-0.493144815453016	-0.339895397899021	-0.662270227290479	-0.493144815453016	-0.493144815453016
GTEX-111CU-1526-SM-5N9FS	0.412430445039081	0.206180215572171	1.21852312133442	0.610058951480859	0.820358210206162	0.560590655438551	0.206180215572171	0.206180215572171	0.206180215572171
GTEX-111CU-1726-SM-5EGHM	-0.474973886613074	-0.285640412138271	0.523679048266285	0.1033531446757	0.423677650295422	-0.0955943733485203	-0.474973886613074	-0.474973886613074	-0.474973886613074
GTEX-111CU-1826-SM-5GZYN	0.205350788961113	0.828110961584952	0.221649464455344	0.581827008143758	-0.0872132013719434	-0.300699428540679	0.205350788961113	-0.0872132013719434	-0.300699428540679
GTEX-111CU-2026-SM-5GZZC	-1.47217306454088	-1.51270279526031	-0.80167545241146	-0.707810983224469	-0.309451844956181	-0.599240174540852	-1.51270279526031	-1.51270279526031	-1.51270279526031
GTEX-111CU-2226-SM-5N9G5	-0.298403211593721	0.414885168470012	0.70814567471476	-0.177462773400568	-0.114077307319602	-0.40588124408779	-0.298403211593721	-0.298403211593721	-0.40588124408779
GTEX-111FC-0126-SM-5N9DL	-0.0516380402459615	-0.262632688572378	0.0273460996053623	-0.213974119681276	-0.424593870826985	0.169035326997023	-0.262632688572378	-0.424593870826985	-0.424593870826985
GTEX-111FC-0226-SM-5N9B8	0.751302942353242	0.600490411843416	0.156097657462169	0.658060857516287	0.112188199376744	-0.249398484248319	0.156097657462169	0.112188199376744	-0.249398484248319
GTEX-111FC-0326-SM-5GZZ1	-1.92469568883161	-2.1336722359016	-1.12425427201382	-2.56408621625875	-0.30541842240101	-0.560574301619956	-2.56408621625875	-2.1336722359016	-2.1336722359016
GTEX-111FC-0426-SM-5N9CV	0.909626702823672	0.558202133558642	0.0854284139321381	-0.163790216837593	0.132237269002071	-0.423045642595023	-0.163790216837593	0.0854284139321381	-0.423045642595023
GTEX-111FC-0526-SM-5GZZ8	0.548605433244408	0.884374443465407	1.50047414221728	0.9476839473693	-0.294422907908996	-0.337585470309873	0.548605433244408	-0.294422907908996	-0.337585470309873
GTEX-111FC-0626-SM-5N9CU	-0.0610385831853352	-0.588594732262848	-0.390615032669944	-0.784775826291099	-0.216446815924207	-0.18431268358122	-0.784775826291099	-0.588594732262848	-0.588594732262848
GTEX-111FC-0826-SM-5GZWO	-0.76622053885612	-1.25507763725521	-0.675127146996739	-1.49551281138621	-0.37914030650097	-0.555492511805766	-1.49551281138621	-1.25507763725521	-1.25507763725521
GTEX-111FC-1026-SM-5GZX1	0.528207700143013	0.505841238827051	0.197438196072902	0.560736278392277	0.208878802246128	-0.232087790737369	0.197438196072902	0.197438196072902	-0.232087790737369
GTEX-111FC-1126-SM-5GZWU	0.892226205548562	0.893465336956842	0.254373972982867	0.410995225920369	-0.177161788357145	0.695572412108191	0.254373972982867	-0.177161788357145	-0.177161788357145
GTEX-111FC-1326-SM-5N9D9	0.448433196029985	0.0105430028667793	4.37703683813597	1.80181921615143	0.0682879114994085	0.410483248196248	0.0105430028667793	0.0105430028667793	0.0105430028667793
GTEX-111FC-1926-SM-5GZYC	-0.554930451966428	-0.62571989961435	0.225352083870451	-0.0454271929270433	0.263306875844877	-0.134295039185149	-0.62571989961435	-0.62571989961435	-0.62571989961435
GTEX-111FC-2026-SM-5GZYO	-0.0888723904319254	-0.0431707977106654	0.963200385432831	0.0759592078132574	0.117452049485708	0.281381834997199	-0.0888723904319254	-0.0888723904319254	-0.0888723904319254
GTEX-111FC-2526-SM-5GZXU	0.0645708710755	0.103659707722218	0.223238725177432	-0.267767189656535	0.0561921722141011	0.407927299733583	-0.267767189656535	0.0561921722141011	0.0561921722141011
GTEX-111FC-2926-SM-5GZY7	0.0554919523667216	1.34813534705454	0.0114258572471029	0.142431378451887	-0.370054432902685	0.476299756815106	0.0114258572471029	-0.370054432902685	-0.370054432902685
GTEX-111FC-3126-SM-5GZZ2	-0.849995123415003	-0.0779442338565932	0.786619160802984	0.368992726222402	1.72449347382084	1.01240420164374	-0.849995123415003	-0.849995123415003	-0.849995123415003
GTEX-111FC-3326-SM-5GZYV	-0.423622377587541	-0.272063295967939	1.03577211902603	-0.0659446283495253	1.05845368700781	0.487076674357624	-0.423622377587541	-0.423622377587541	-0.423622377587541
GTEX-111VG-0008-SM-5Q5BG	1.94817461317922	1.35962745933267	0.300481052991327	1.44838689768247	0.0995360226468243	0.572917117779767	0.300481052991327	0.0995360226468243	0.0995360226468243
GTEX-111VG-0326-SM-5GZX7	-0.533215807650507	-0.94435391547645	-0.852083320083308	-1.05705923284064	-0.982991971156546	-0.485778496311226	-1.05705923284064	-0.982991971156546	-0.982991971156546
GTEX-111VG-0526-SM-5N9BW	-0.0261098795287156	-0.494411701176107	-0.0773235586451063	-0.452321123789775	-0.405920336541101	-0.217065995845537	-0.494411701176107	-0.494411701176107	-0.494411701176107
GTEX-111VG-0726-SM-5GIDC	0.89607898171453	0.513607889126405	0.257468998506444	0.817271923179124	-0.162316793415156	0.568717310821993	0.257468998506444	-0.162316793415156	-0.162316793415156
GTEX-111VG-1626-SM-5EGIO	-0.274749341195406	-0.579838673640813	-0.123753346948137	-0.44566722500871	-0.486894967337664	-0.0953361752418871	-0.579838673640813	-0.579838673640813	-0.579838673640813
GTEX-111VG-1926-SM-5GIDO	-0.96217049534716	-0.698135958116019	-0.099526227174809	-0.140111327777058	-0.317541604902514	-0.077051707595517	-0.96217049534716	-0.96217049534716	-0.96217049534716
