sample	sLeX_reachability
GTEX-1122O-2126-SM-5EGIR	-1.25394825377532
GTEX-1122O-2326-SM-9YFL9	-0.83831275384566
GTEX-1122O-2426-SM-5GIDN	-1.40110125753729
GTEX-1128S-0005-SM-5P9HI	-2.44498036707908
GTEX-1128S-0008-SM-5Q5DP	-0.712845723216822
GTEX-1128S-0126-SM-5H12S	-0.404137128173736
GTEX-1128S-0326-SM-5GZZF	-0.437093153143642
GTEX-1128S-0726-SM-5N9D6	-0.486352453851394
GTEX-1128S-0826-SM-5GZZI	-2.14157437075726
GTEX-1128S-0926-SM-5GZZU	-0.451869270490565
GTEX-1128S-1626-SM-5H12O	-0.273152586757435
GTEX-1128S-2126-SM-5H12U	-0.474365501224725
GTEX-1128S-2326-SM-5GZZY	-0.649277984443124
GTEX-1128S-2426-SM-5H11B	-2.12122938553826
GTEX-1128S-2526-SM-5H11N	-0.521979609009322
GTEX-1128S-2626-SM-5H11Z	-0.447308809566548
GTEX-1128S-2726-SM-5H12C	-0.990192850867552
GTEX-1128S-2826-SM-5N9DI	-1.3527845186642
GTEX-113IC-0006-SM-5NQ9C	-0.674089053585126
GTEX-113IC-0008-SM-5QGRF	-0.667075341844043
GTEX-113IC-0126-SM-5HL6T	-0.274477200255899
GTEX-113IC-0226-SM-5HL5C	-0.330101359237659
GTEX-113IC-0426-SM-5HL5O	-0.462379233567019
GTEX-113IC-0526-SM-5HL76	-0.349636020662036
GTEX-113JC-0006-SM-5O997	-3.07231250551314
GTEX-113JC-0008-SM-5QGR6	-0.535152361391819
GTEX-113JC-0126-SM-5EGJW	-0.874779584165184
GTEX-113JC-0726-SM-5GZZR	-0.732764883686676
GTEX-113JC-0926-SM-5H114	-0.510030919992829
GTEX-113JC-1026-SM-5H117	-0.802697420867046
GTEX-113JC-1926-SM-5N9GE	-0.266828633563629
GTEX-113JC-2226-SM-5EGJG	-0.472238215046952
GTEX-113JC-2326-SM-5EQ4E	-0.561743796222549
GTEX-113JC-2726-SM-5EGIS	-2.15792676157135
GTEX-113JC-2826-SM-5EGIT	-0.504398369189179
GTEX-117XS-0005-SM-5PNU6	-3.80355616779925
GTEX-117XS-0008-SM-5Q5DQ	-0.704231033734633
GTEX-117XS-0426-SM-5GZZN	-0.34094062770195
GTEX-117XS-0526-SM-5987Q	-0.518340437221312
GTEX-117XS-0726-SM-5H131	-1.79195904280176
GTEX-117XS-1926-SM-5GICO	-0.827997883618383
GTEX-117XS-2026-SM-5GID1	-1.09158441207478
GTEX-117XS-2226-SM-5GIE1	-0.46824389601827
GTEX-117XS-2526-SM-5H11G	-2.44140087028656
GTEX-117XS-2726-SM-5N9BL	-2.01922895431589
GTEX-117XS-2926-SM-5N9BX	-1.15221637096241
GTEX-117XS-3026-SM-5N9CA	-1.13603910998319
GTEX-117XS-3126-SM-5GIDP	-0.564744302430936
GTEX-117YW-0005-SM-5NQ8Z	-3.40377894472766
GTEX-117YW-0008-SM-5QGRD	-0.613616086584929
GTEX-117YW-0126-SM-5EGGN	-1.23668405374998
GTEX-117YW-0226-SM-5N9CM	-1.13984373947606
GTEX-117YW-0326-SM-5N9CY	-2.75447673443706
GTEX-117YW-0426-SM-5GZZZ	-3.261724203976
GTEX-117YW-0526-SM-5H11C	-0.508856604634134
GTEX-117YW-0826-SM-5H11O	-0.326343917527481
GTEX-117YW-1426-SM-5EGGO	-1.17229605466008
GTEX-117YW-1526-SM-5EGGP	-1.45651814579002
GTEX-117YW-1826-SM-5PNY5	-1.19287755995987
GTEX-117YW-1926-SM-5H121	-1.10838479127543
GTEX-117YW-2026-SM-5N9BH	-1.28438439920306
GTEX-117YW-2226-SM-5N9DB	-0.931792113963646
GTEX-117YW-2426-SM-5Q5AE	-2.23015028418875
GTEX-117YW-2626-SM-5GZZH	-0.355980788881856
GTEX-117YW-2726-SM-5GZZT	-0.842350220441165
GTEX-117YW-2826-SM-5H116	-1.28115693539742
GTEX-117YX-0126-SM-5EGH5	-0.841003139630605
GTEX-117YX-0226-SM-5EGH6	-1.94651474678909
GTEX-117YX-0326-SM-5GICL	-0.660466568357744
GTEX-117YX-0526-SM-5EGJH	-0.458049988675943
GTEX-117YX-0626-SM-5EGJI	-1.28115284954276
GTEX-117YX-0726-SM-5GIET	-0.468228559017959
GTEX-117YX-0826-SM-5H11J	-0.435866062898037
GTEX-117YX-1026-SM-5H11V	-1.2523948711822
GTEX-117YX-1126-SM-5H128	-2.11655302923737
GTEX-117YX-1226-SM-5H11S	-0.449050248337225
GTEX-117YX-1326-SM-5H125	0.0139953138118037
GTEX-117YX-1426-SM-5H12H	-0.541916444049451
GTEX-117YX-1526-SM-5H12T	-0.81210888360905
GTEX-117YX-1726-SM-5GZZS	-0.434412030882071
GTEX-117YX-1826-SM-5H12K	-0.732764883686676
GTEX-117YX-1926-SM-5GIEC	-0.951089254759782
GTEX-117YX-2026-SM-5GIEF	-0.80795642892725
GTEX-117YX-2126-SM-5GIEL	-0.991438368934366
GTEX-117YX-2226-SM-5EGJJ	-0.468358166163325
GTEX-117YX-2326-SM-5H12W	-0.444284886495851
GTEX-117YX-2426-SM-5GZZJ	-0.468096256237283
